Ch_Date,Sh_Date,Sh_Month,Sh_Year,Week_Num,Year_Week
3/21/2019,1398-Farvardin-1,Farvardin,98,W1,98W1
3/22/2019,1398-Farvardin-2,Farvardin,98,W1,98W1
3/23/2019,1398-Farvardin-3,Farvardin,98,W2,98W2
3/24/2019,1398-Farvardin-4,Farvardin,98,W2,98W2
3/25/2019,1398-Farvardin-5,Farvardin,98,W2,98W2
3/26/2019,1398-Farvardin-6,Farvardin,98,W2,98W2
3/27/2019,1398-Farvardin-7,Farvardin,98,W2,98W2
3/28/2019,1398-Farvardin-8,Farvardin,98,W2,98W2
3/29/2019,1398-Farvardin-9,Farvardin,98,W2,98W2
3/30/2019,1398-Farvardin-10,Farvardin,98,W3,98W3
3/31/2019,1398-Farvardin-11,Farvardin,98,W3,98W3
4/1/2019,1398-Farvardin-12,Farvardin,98,W3,98W3
4/2/2019,1398-Farvardin-13,Farvardin,98,W3,98W3
4/3/2019,1398-Farvardin-14,Farvardin,98,W3,98W3
4/4/2019,1398-Farvardin-15,Farvardin,98,W3,98W3
4/5/2019,1398-Farvardin-16,Farvardin,98,W3,98W3
4/6/2019,1398-Farvardin-17,Farvardin,98,W4,98W4
4/7/2019,1398-Farvardin-18,Farvardin,98,W4,98W4
4/8/2019,1398-Farvardin-19,Farvardin,98,W4,98W4
4/9/2019,1398-Farvardin-20,Farvardin,98,W4,98W4
4/10/2019,1398-Farvardin-21,Farvardin,98,W4,98W4
4/11/2019,1398-Farvardin-22,Farvardin,98,W4,98W4
4/12/2019,1398-Farvardin-23,Farvardin,98,W4,98W4
4/13/2019,1398-Farvardin-24,Farvardin,98,W5,98W5
4/14/2019,1398-Farvardin-25,Farvardin,98,W5,98W5
4/15/2019,1398-Farvardin-26,Farvardin,98,W5,98W5
4/16/2019,1398-Farvardin-27,Farvardin,98,W5,98W5
4/17/2019,1398-Farvardin-28,Farvardin,98,W5,98W5
4/18/2019,1398-Farvardin-29,Farvardin,98,W5,98W5
4/19/2019,1398-Farvardin-30,Farvardin,98,W5,98W5
4/20/2019,1398-Farvardin-31,Farvardin,98,W6,98W6
4/21/2019,1398-Ordibehesht-1,Ordibehesht,98,W6,98W6
4/22/2019,1398-Ordibehesht-2,Ordibehesht,98,W6,98W6
4/23/2019,1398-Ordibehesht-3,Ordibehesht,98,W6,98W6
4/24/2019,1398-Ordibehesht-4,Ordibehesht,98,W6,98W6
4/25/2019,1398-Ordibehesht-5,Ordibehesht,98,W6,98W6
4/26/2019,1398-Ordibehesht-6,Ordibehesht,98,W6,98W6
4/27/2019,1398-Ordibehesht-7,Ordibehesht,98,W7,98W7
4/28/2019,1398-Ordibehesht-8,Ordibehesht,98,W7,98W7
4/29/2019,1398-Ordibehesht-9,Ordibehesht,98,W7,98W7
4/30/2019,1398-Ordibehesht-10,Ordibehesht,98,W7,98W7
5/1/2019,1398-Ordibehesht-11,Ordibehesht,98,W7,98W7
5/2/2019,1398-Ordibehesht-12,Ordibehesht,98,W7,98W7
5/3/2019,1398-Ordibehesht-13,Ordibehesht,98,W7,98W7
5/4/2019,1398-Ordibehesht-14,Ordibehesht,98,W8,98W8
5/5/2019,1398-Ordibehesht-15,Ordibehesht,98,W8,98W8
5/6/2019,1398-Ordibehesht-16,Ordibehesht,98,W8,98W8
5/7/2019,1398-Ordibehesht-17,Ordibehesht,98,W8,98W8
5/8/2019,1398-Ordibehesht-18,Ordibehesht,98,W8,98W8
5/9/2019,1398-Ordibehesht-19,Ordibehesht,98,W8,98W8
5/10/2019,1398-Ordibehesht-20,Ordibehesht,98,W8,98W8
5/11/2019,1398-Ordibehesht-21,Ordibehesht,98,W9,98W9
5/12/2019,1398-Ordibehesht-22,Ordibehesht,98,W9,98W9
5/13/2019,1398-Ordibehesht-23,Ordibehesht,98,W9,98W9
5/14/2019,1398-Ordibehesht-24,Ordibehesht,98,W9,98W9
5/15/2019,1398-Ordibehesht-25,Ordibehesht,98,W9,98W9
5/16/2019,1398-Ordibehesht-26,Ordibehesht,98,W9,98W9
5/17/2019,1398-Ordibehesht-27,Ordibehesht,98,W9,98W9
5/18/2019,1398-Ordibehesht-28,Ordibehesht,98,W10,98W10
5/19/2019,1398-Ordibehesht-29,Ordibehesht,98,W10,98W10
5/20/2019,1398-Ordibehesht-30,Ordibehesht,98,W10,98W10
5/21/2019,1398-Ordibehesht-31,Ordibehesht,98,W10,98W10
5/22/2019,1398-Khordad-1,Khordad,98,W10,98W10
5/23/2019,1398-Khordad-2,Khordad,98,W10,98W10
5/24/2019,1398-Khordad-3,Khordad,98,W10,98W10
5/25/2019,1398-Khordad-4,Khordad,98,W11,98W11
5/26/2019,1398-Khordad-5,Khordad,98,W11,98W11
5/27/2019,1398-Khordad-6,Khordad,98,W11,98W11
5/28/2019,1398-Khordad-7,Khordad,98,W11,98W11
5/29/2019,1398-Khordad-8,Khordad,98,W11,98W11
5/30/2019,1398-Khordad-9,Khordad,98,W11,98W11
5/31/2019,1398-Khordad-10,Khordad,98,W11,98W11
6/1/2019,1398-Khordad-11,Khordad,98,W12,98W12
6/2/2019,1398-Khordad-12,Khordad,98,W12,98W12
6/3/2019,1398-Khordad-13,Khordad,98,W12,98W12
6/4/2019,1398-Khordad-14,Khordad,98,W12,98W12
6/5/2019,1398-Khordad-15,Khordad,98,W12,98W12
6/6/2019,1398-Khordad-16,Khordad,98,W12,98W12
6/7/2019,1398-Khordad-17,Khordad,98,W12,98W12
6/8/2019,1398-Khordad-18,Khordad,98,W13,98W13
6/9/2019,1398-Khordad-19,Khordad,98,W13,98W13
6/10/2019,1398-Khordad-20,Khordad,98,W13,98W13
6/11/2019,1398-Khordad-21,Khordad,98,W13,98W13
6/12/2019,1398-Khordad-22,Khordad,98,W13,98W13
6/13/2019,1398-Khordad-23,Khordad,98,W13,98W13
6/14/2019,1398-Khordad-24,Khordad,98,W13,98W13
6/15/2019,1398-Khordad-25,Khordad,98,W14,98W14
6/16/2019,1398-Khordad-26,Khordad,98,W14,98W14
6/17/2019,1398-Khordad-27,Khordad,98,W14,98W14
6/18/2019,1398-Khordad-28,Khordad,98,W14,98W14
6/19/2019,1398-Khordad-29,Khordad,98,W14,98W14
6/20/2019,1398-Khordad-30,Khordad,98,W14,98W14
6/21/2019,1398-Khordad-31,Khordad,98,W14,98W14
6/22/2019,1398-Tir-1,Tir,98,W15,98W15
6/23/2019,1398-Tir-2,Tir,98,W15,98W15
6/24/2019,1398-Tir-3,Tir,98,W15,98W15
6/25/2019,1398-Tir-4,Tir,98,W15,98W15
6/26/2019,1398-Tir-5,Tir,98,W15,98W15
6/27/2019,1398-Tir-6,Tir,98,W15,98W15
6/28/2019,1398-Tir-7,Tir,98,W15,98W15
6/29/2019,1398-Tir-8,Tir,98,W16,98W16
6/30/2019,1398-Tir-9,Tir,98,W16,98W16
7/1/2019,1398-Tir-10,Tir,98,W16,98W16
7/2/2019,1398-Tir-11,Tir,98,W16,98W16
7/3/2019,1398-Tir-12,Tir,98,W16,98W16
7/4/2019,1398-Tir-13,Tir,98,W16,98W16
7/5/2019,1398-Tir-14,Tir,98,W16,98W16
7/6/2019,1398-Tir-15,Tir,98,W17,98W17
7/7/2019,1398-Tir-16,Tir,98,W17,98W17
7/8/2019,1398-Tir-17,Tir,98,W17,98W17
7/9/2019,1398-Tir-18,Tir,98,W17,98W17
7/10/2019,1398-Tir-19,Tir,98,W17,98W17
7/11/2019,1398-Tir-20,Tir,98,W17,98W17
7/12/2019,1398-Tir-21,Tir,98,W17,98W17
7/13/2019,1398-Tir-22,Tir,98,W18,98W18
7/14/2019,1398-Tir-23,Tir,98,W18,98W18
7/15/2019,1398-Tir-24,Tir,98,W18,98W18
7/16/2019,1398-Tir-25,Tir,98,W18,98W18
7/17/2019,1398-Tir-26,Tir,98,W18,98W18
7/18/2019,1398-Tir-27,Tir,98,W18,98W18
7/19/2019,1398-Tir-28,Tir,98,W18,98W18
7/20/2019,1398-Tir-29,Tir,98,W19,98W19
7/21/2019,1398-Tir-30,Tir,98,W19,98W19
7/22/2019,1398-Tir-31,Tir,98,W19,98W19
7/23/2019,1398-Mordad-1,Mordad,98,W19,98W19
7/24/2019,1398-Mordad-2,Mordad,98,W19,98W19
7/25/2019,1398-Mordad-3,Mordad,98,W19,98W19
7/26/2019,1398-Mordad-4,Mordad,98,W19,98W19
7/27/2019,1398-Mordad-5,Mordad,98,W20,98W20
7/28/2019,1398-Mordad-6,Mordad,98,W20,98W20
7/29/2019,1398-Mordad-7,Mordad,98,W20,98W20
7/30/2019,1398-Mordad-8,Mordad,98,W20,98W20
7/31/2019,1398-Mordad-9,Mordad,98,W20,98W20
8/1/2019,1398-Mordad-10,Mordad,98,W20,98W20
8/2/2019,1398-Mordad-11,Mordad,98,W20,98W20
8/3/2019,1398-Mordad-12,Mordad,98,W21,98W21
8/4/2019,1398-Mordad-13,Mordad,98,W21,98W21
8/5/2019,1398-Mordad-14,Mordad,98,W21,98W21
8/6/2019,1398-Mordad-15,Mordad,98,W21,98W21
8/7/2019,1398-Mordad-16,Mordad,98,W21,98W21
8/8/2019,1398-Mordad-17,Mordad,98,W21,98W21
8/9/2019,1398-Mordad-18,Mordad,98,W21,98W21
8/10/2019,1398-Mordad-19,Mordad,98,W22,98W22
8/11/2019,1398-Mordad-20,Mordad,98,W22,98W22
8/12/2019,1398-Mordad-21,Mordad,98,W22,98W22
8/13/2019,1398-Mordad-22,Mordad,98,W22,98W22
8/14/2019,1398-Mordad-23,Mordad,98,W22,98W22
8/15/2019,1398-Mordad-24,Mordad,98,W22,98W22
8/16/2019,1398-Mordad-25,Mordad,98,W22,98W22
8/17/2019,1398-Mordad-26,Mordad,98,W23,98W23
8/18/2019,1398-Mordad-27,Mordad,98,W23,98W23
8/19/2019,1398-Mordad-28,Mordad,98,W23,98W23
8/20/2019,1398-Mordad-29,Mordad,98,W23,98W23
8/21/2019,1398-Mordad-30,Mordad,98,W23,98W23
8/22/2019,1398-Mordad-31,Mordad,98,W23,98W23
8/23/2019,1398-Shahrivar-1,Shahrivar,98,W23,98W23
8/24/2019,1398-Shahrivar-2,Shahrivar,98,W24,98W24
8/25/2019,1398-Shahrivar-3,Shahrivar,98,W24,98W24
8/26/2019,1398-Shahrivar-4,Shahrivar,98,W24,98W24
8/27/2019,1398-Shahrivar-5,Shahrivar,98,W24,98W24
8/28/2019,1398-Shahrivar-6,Shahrivar,98,W24,98W24
8/29/2019,1398-Shahrivar-7,Shahrivar,98,W24,98W24
8/30/2019,1398-Shahrivar-8,Shahrivar,98,W24,98W24
8/31/2019,1398-Shahrivar-9,Shahrivar,98,W25,98W25
9/1/2019,1398-Shahrivar-10,Shahrivar,98,W25,98W25
9/2/2019,1398-Shahrivar-11,Shahrivar,98,W25,98W25
9/3/2019,1398-Shahrivar-12,Shahrivar,98,W25,98W25
9/4/2019,1398-Shahrivar-13,Shahrivar,98,W25,98W25
9/5/2019,1398-Shahrivar-14,Shahrivar,98,W25,98W25
9/6/2019,1398-Shahrivar-15,Shahrivar,98,W25,98W25
9/7/2019,1398-Shahrivar-16,Shahrivar,98,W26,98W26
9/8/2019,1398-Shahrivar-17,Shahrivar,98,W26,98W26
9/9/2019,1398-Shahrivar-18,Shahrivar,98,W26,98W26
9/10/2019,1398-Shahrivar-19,Shahrivar,98,W26,98W26
9/11/2019,1398-Shahrivar-20,Shahrivar,98,W26,98W26
9/12/2019,1398-Shahrivar-21,Shahrivar,98,W26,98W26
9/13/2019,1398-Shahrivar-22,Shahrivar,98,W26,98W26
9/14/2019,1398-Shahrivar-23,Shahrivar,98,W27,98W27
9/15/2019,1398-Shahrivar-24,Shahrivar,98,W27,98W27
9/16/2019,1398-Shahrivar-25,Shahrivar,98,W27,98W27
9/17/2019,1398-Shahrivar-26,Shahrivar,98,W27,98W27
9/18/2019,1398-Shahrivar-27,Shahrivar,98,W27,98W27
9/19/2019,1398-Shahrivar-28,Shahrivar,98,W27,98W27
9/20/2019,1398-Shahrivar-29,Shahrivar,98,W27,98W27
9/21/2019,1398-Shahrivar-30,Shahrivar,98,W28,98W28
9/22/2019,1398-Shahrivar-31,Shahrivar,98,W28,98W28
9/23/2019,1398-Mehr-1,Mehr,98,W28,98W28
9/24/2019,1398-Mehr-2,Mehr,98,W28,98W28
9/25/2019,1398-Mehr-3,Mehr,98,W28,98W28
9/26/2019,1398-Mehr-4,Mehr,98,W28,98W28
9/27/2019,1398-Mehr-5,Mehr,98,W28,98W28
9/28/2019,1398-Mehr-6,Mehr,98,W29,98W29
9/29/2019,1398-Mehr-7,Mehr,98,W29,98W29
9/30/2019,1398-Mehr-8,Mehr,98,W29,98W29
10/1/2019,1398-Mehr-9,Mehr,98,W29,98W29
10/2/2019,1398-Mehr-10,Mehr,98,W29,98W29
10/3/2019,1398-Mehr-11,Mehr,98,W29,98W29
10/4/2019,1398-Mehr-12,Mehr,98,W29,98W29
10/5/2019,1398-Mehr-13,Mehr,98,W30,98W30
10/6/2019,1398-Mehr-14,Mehr,98,W30,98W30
10/7/2019,1398-Mehr-15,Mehr,98,W30,98W30
10/8/2019,1398-Mehr-16,Mehr,98,W30,98W30
10/9/2019,1398-Mehr-17,Mehr,98,W30,98W30
10/10/2019,1398-Mehr-18,Mehr,98,W30,98W30
10/11/2019,1398-Mehr-19,Mehr,98,W30,98W30
10/12/2019,1398-Mehr-20,Mehr,98,W31,98W31
10/13/2019,1398-Mehr-21,Mehr,98,W31,98W31
10/14/2019,1398-Mehr-22,Mehr,98,W31,98W31
10/15/2019,1398-Mehr-23,Mehr,98,W31,98W31
10/16/2019,1398-Mehr-24,Mehr,98,W31,98W31
10/17/2019,1398-Mehr-25,Mehr,98,W31,98W31
10/18/2019,1398-Mehr-26,Mehr,98,W31,98W31
10/19/2019,1398-Mehr-27,Mehr,98,W32,98W32
10/20/2019,1398-Mehr-28,Mehr,98,W32,98W32
10/21/2019,1398-Mehr-29,Mehr,98,W32,98W32
10/22/2019,1398-Mehr-30,Mehr,98,W32,98W32
10/23/2019,1398-Aban-1,Aban,98,W32,98W32
10/24/2019,1398-Aban-2,Aban,98,W32,98W32
10/25/2019,1398-Aban-3,Aban,98,W32,98W32
10/26/2019,1398-Aban-4,Aban,98,W33,98W33
10/27/2019,1398-Aban-5,Aban,98,W33,98W33
10/28/2019,1398-Aban-6,Aban,98,W33,98W33
10/29/2019,1398-Aban-7,Aban,98,W33,98W33
10/30/2019,1398-Aban-8,Aban,98,W33,98W33
10/31/2019,1398-Aban-9,Aban,98,W33,98W33
11/1/2019,1398-Aban-10,Aban,98,W33,98W33
11/2/2019,1398-Aban-11,Aban,98,W34,98W34
11/3/2019,1398-Aban-12,Aban,98,W34,98W34
11/4/2019,1398-Aban-13,Aban,98,W34,98W34
11/5/2019,1398-Aban-14,Aban,98,W34,98W34
11/6/2019,1398-Aban-15,Aban,98,W34,98W34
11/7/2019,1398-Aban-16,Aban,98,W34,98W34
11/8/2019,1398-Aban-17,Aban,98,W34,98W34
11/9/2019,1398-Aban-18,Aban,98,W35,98W35
11/10/2019,1398-Aban-19,Aban,98,W35,98W35
11/11/2019,1398-Aban-20,Aban,98,W35,98W35
11/12/2019,1398-Aban-21,Aban,98,W35,98W35
11/13/2019,1398-Aban-22,Aban,98,W35,98W35
11/14/2019,1398-Aban-23,Aban,98,W35,98W35
11/15/2019,1398-Aban-24,Aban,98,W35,98W35
11/16/2019,1398-Aban-25,Aban,98,W36,98W36
11/17/2019,1398-Aban-26,Aban,98,W36,98W36
11/18/2019,1398-Aban-27,Aban,98,W36,98W36
11/19/2019,1398-Aban-28,Aban,98,W36,98W36
11/20/2019,1398-Aban-29,Aban,98,W36,98W36
11/21/2019,1398-Aban-30,Aban,98,W36,98W36
11/22/2019,1398-Azar-1,Azar,98,W36,98W36
11/23/2019,1398-Azar-2,Azar,98,W37,98W37
11/24/2019,1398-Azar-3,Azar,98,W37,98W37
11/25/2019,1398-Azar-4,Azar,98,W37,98W37
11/26/2019,1398-Azar-5,Azar,98,W37,98W37
11/27/2019,1398-Azar-6,Azar,98,W37,98W37
11/28/2019,1398-Azar-7,Azar,98,W37,98W37
11/29/2019,1398-Azar-8,Azar,98,W37,98W37
11/30/2019,1398-Azar-9,Azar,98,W38,98W38
12/1/2019,1398-Azar-10,Azar,98,W38,98W38
12/2/2019,1398-Azar-11,Azar,98,W38,98W38
12/3/2019,1398-Azar-12,Azar,98,W38,98W38
12/4/2019,1398-Azar-13,Azar,98,W38,98W38
12/5/2019,1398-Azar-14,Azar,98,W38,98W38
12/6/2019,1398-Azar-15,Azar,98,W38,98W38
12/7/2019,1398-Azar-16,Azar,98,W39,98W39
12/8/2019,1398-Azar-17,Azar,98,W39,98W39
12/9/2019,1398-Azar-18,Azar,98,W39,98W39
12/10/2019,1398-Azar-19,Azar,98,W39,98W39
12/11/2019,1398-Azar-20,Azar,98,W39,98W39
12/12/2019,1398-Azar-21,Azar,98,W39,98W39
12/13/2019,1398-Azar-22,Azar,98,W39,98W39
12/14/2019,1398-Azar-23,Azar,98,W40,98W40
12/15/2019,1398-Azar-24,Azar,98,W40,98W40
12/16/2019,1398-Azar-25,Azar,98,W40,98W40
12/17/2019,1398-Azar-26,Azar,98,W40,98W40
12/18/2019,1398-Azar-27,Azar,98,W40,98W40
12/19/2019,1398-Azar-28,Azar,98,W40,98W40
12/20/2019,1398-Azar-29,Azar,98,W40,98W40
12/21/2019,1398-Azar-30,Azar,98,W41,98W41
12/22/2019,1398-Dey-1,Dey,98,W41,98W41
12/23/2019,1398-Dey-2,Dey,98,W41,98W41
12/24/2019,1398-Dey-3,Dey,98,W41,98W41
12/25/2019,1398-Dey-4,Dey,98,W41,98W41
12/26/2019,1398-Dey-5,Dey,98,W41,98W41
12/27/2019,1398-Dey-6,Dey,98,W41,98W41
12/28/2019,1398-Dey-7,Dey,98,W42,98W42
12/29/2019,1398-Dey-8,Dey,98,W42,98W42
12/30/2019,1398-Dey-9,Dey,98,W42,98W42
12/31/2019,1398-Dey-10,Dey,98,W42,98W42
1/1/2020,1398-Dey-11,Dey,98,W42,98W42
1/2/2020,1398-Dey-12,Dey,98,W42,98W42
1/3/2020,1398-Dey-13,Dey,98,W42,98W42
1/4/2020,1398-Dey-14,Dey,98,W43,98W43
1/5/2020,1398-Dey-15,Dey,98,W43,98W43
1/6/2020,1398-Dey-16,Dey,98,W43,98W43
1/7/2020,1398-Dey-17,Dey,98,W43,98W43
1/8/2020,1398-Dey-18,Dey,98,W43,98W43
1/9/2020,1398-Dey-19,Dey,98,W43,98W43
1/10/2020,1398-Dey-20,Dey,98,W43,98W43
1/11/2020,1398-Dey-21,Dey,98,W44,98W44
1/12/2020,1398-Dey-22,Dey,98,W44,98W44
1/13/2020,1398-Dey-23,Dey,98,W44,98W44
1/14/2020,1398-Dey-24,Dey,98,W44,98W44
1/15/2020,1398-Dey-25,Dey,98,W44,98W44
1/16/2020,1398-Dey-26,Dey,98,W44,98W44
1/17/2020,1398-Dey-27,Dey,98,W44,98W44
1/18/2020,1398-Dey-28,Dey,98,W45,98W45
1/19/2020,1398-Dey-29,Dey,98,W45,98W45
1/20/2020,1398-Dey-30,Dey,98,W45,98W45
1/21/2020,1398-Bahman-1,Bahman,98,W45,98W45
1/22/2020,1398-Bahman-2,Bahman,98,W45,98W45
1/23/2020,1398-Bahman-3,Bahman,98,W45,98W45
1/24/2020,1398-Bahman-4,Bahman,98,W45,98W45
1/25/2020,1398-Bahman-5,Bahman,98,W46,98W46
1/26/2020,1398-Bahman-6,Bahman,98,W46,98W46
1/27/2020,1398-Bahman-7,Bahman,98,W46,98W46
1/28/2020,1398-Bahman-8,Bahman,98,W46,98W46
1/29/2020,1398-Bahman-9,Bahman,98,W46,98W46
1/30/2020,1398-Bahman-10,Bahman,98,W46,98W46
1/31/2020,1398-Bahman-11,Bahman,98,W46,98W46
2/1/2020,1398-Bahman-12,Bahman,98,W47,98W47
2/2/2020,1398-Bahman-13,Bahman,98,W47,98W47
2/3/2020,1398-Bahman-14,Bahman,98,W47,98W47
2/4/2020,1398-Bahman-15,Bahman,98,W47,98W47
2/5/2020,1398-Bahman-16,Bahman,98,W47,98W47
2/6/2020,1398-Bahman-17,Bahman,98,W47,98W47
2/7/2020,1398-Bahman-18,Bahman,98,W47,98W47
2/8/2020,1398-Bahman-19,Bahman,98,W48,98W48
2/9/2020,1398-Bahman-20,Bahman,98,W48,98W48
2/10/2020,1398-Bahman-21,Bahman,98,W48,98W48
2/11/2020,1398-Bahman-22,Bahman,98,W48,98W48
2/12/2020,1398-Bahman-23,Bahman,98,W48,98W48
2/13/2020,1398-Bahman-24,Bahman,98,W48,98W48
2/14/2020,1398-Bahman-25,Bahman,98,W48,98W48
2/15/2020,1398-Bahman-26,Bahman,98,W49,98W49
2/16/2020,1398-Bahman-27,Bahman,98,W49,98W49
2/17/2020,1398-Bahman-28,Bahman,98,W49,98W49
2/18/2020,1398-Bahman-29,Bahman,98,W49,98W49
2/19/2020,1398-Bahman-30,Bahman,98,W49,98W49
2/20/2020,1398-Esfand-1,Esfand,98,W49,98W49
2/21/2020,1398-Esfand-2,Esfand,98,W49,98W49
2/22/2020,1398-Esfand-3,Esfand,98,W50,98W50
2/23/2020,1398-Esfand-4,Esfand,98,W50,98W50
2/24/2020,1398-Esfand-5,Esfand,98,W50,98W50
2/25/2020,1398-Esfand-6,Esfand,98,W50,98W50
2/26/2020,1398-Esfand-7,Esfand,98,W50,98W50
2/27/2020,1398-Esfand-8,Esfand,98,W50,98W50
2/28/2020,1398-Esfand-9,Esfand,98,W50,98W50
2/29/2020,1398-Esfand-10,Esfand,98,W51,98W51
3/1/2020,1398-Esfand-11,Esfand,98,W51,98W51
3/2/2020,1398-Esfand-12,Esfand,98,W51,98W51
3/3/2020,1398-Esfand-13,Esfand,98,W51,98W51
3/4/2020,1398-Esfand-14,Esfand,98,W51,98W51
3/5/2020,1398-Esfand-15,Esfand,98,W51,98W51
3/6/2020,1398-Esfand-16,Esfand,98,W51,98W51
3/7/2020,1398-Esfand-17,Esfand,98,W52,98W52
3/8/2020,1398-Esfand-18,Esfand,98,W52,98W52
3/9/2020,1398-Esfand-19,Esfand,98,W52,98W52
3/10/2020,1398-Esfand-20,Esfand,98,W52,98W52
3/11/2020,1398-Esfand-21,Esfand,98,W52,98W52
3/12/2020,1398-Esfand-22,Esfand,98,W52,98W52
3/13/2020,1398-Esfand-23,Esfand,98,W52,98W52
3/14/2020,1398-Esfand-24,Esfand,98,W53,98W53
3/15/2020,1398-Esfand-25,Esfand,98,W53,98W53
3/16/2020,1398-Esfand-26,Esfand,98,W53,98W53
3/17/2020,1398-Esfand-27,Esfand,98,W53,98W53
3/18/2020,1398-Esfand-28,Esfand,98,W53,98W53
3/19/2020,1398-Esfand-29,Esfand,98,W53,98W53
